codigo,nombre,categoria,subcategoria,descripcion,descripcion_original,caracteristicas,precio,stock,imagen,imagen_archivo,destacado,pagina_pdf
PM.50,Panel Solar Monocristalino 50W,Energía Solar,Paneles Solares Monocristalino,"Panel Solar Monocristalino 50W. Pensado para instalaciones solares en motorhomes, casas rodantes y sistemas off-grid.","Panel Solar Monocristalino 50W - 71 x 40 x 2,5 cm - 3,2kg - 12v (Conexion C/Pinzas)","Código: PM.50,71 x 40 x 2,5 cm,3,2kg,12v (Conexion C/Pinzas)",0,0,/images/productos/pm-50.webp,pm-50.webp,0,1
PM.100,Panel Solar Monocristalino 100W,Energía Solar,Paneles Solares Monocristalino,"Panel Solar Monocristalino 100W. Pensado para instalaciones solares en motorhomes, casas rodantes y sistemas off-grid.",Panel Solar Monocristalino 100W - 77 x 70 x 3 cm - 6kg - 12v,"Código: PM.100,77 x 70 x 3 cm,6kg,12v",0,0,/images/productos/pm-100.webp,pm-100.webp,0,1
PM.160,Panel Solar Monocristalino 160W,Energía Solar,Paneles Solares Monocristalino,"Panel Solar Monocristalino 160W. Pensado para instalaciones solares en motorhomes, casas rodantes y sistemas off-grid.","Panel Solar Monocristalino 160W - 122 x 57,5 x 3 cm - 6,5kg - 12v","Código: PM.160,122 x 57,5 x 3 cm,6,5kg,12v",0,0,/images/productos/pm-160.webp,pm-160.webp,0,1
PM.180,Panel Solar Monocristalino 180W,Energía Solar,Paneles Solares Monocristalino,"Panel Solar Monocristalino 180W. Pensado para instalaciones solares en motorhomes, casas rodantes y sistemas off-grid.","Panel Solar Monocristalino 180W - 116 x 76 x 3 cm - 8,8kg -12v","Código: PM.180,116 x 76 x 3 cm,8,8kg -12v",0,0,/images/productos/pm-180.webp,pm-180.webp,0,1
PM.190,Panel Solar Monocristalino 190W,Energía Solar,Paneles Solares Monocristalino,"Panel Solar Monocristalino 190W. Pensado para instalaciones solares en motorhomes, casas rodantes y sistemas off-grid.","Panel Solar Monocristalino 190W - 124 x 77 x 3 cm - 10,2kg - 12v","Código: PM.190,124 x 77 x 3 cm,10,2kg,12v",0,0,/images/productos/pm-190.webp,pm-190.webp,0,1
PM.200,Panel Solar Monocristalino 200W,Energía Solar,Paneles Solares Monocristalino,"Panel Solar Monocristalino 200W. Pensado para instalaciones solares en motorhomes, casas rodantes y sistemas off-grid.","Panel Solar Monocristalino 200W - 148 x 67 x 3,5 cm - 11 kg - 12v","Código: PM.200,148 x 67 x 3,5 cm,11 kg,12v",0,0,/images/productos/pm-200.webp,pm-200.webp,0,1
PM.210,Panel Solar Monocristalino 210W,Energía Solar,Paneles Solares Monocristalino,"Panel Solar Monocristalino 210W. Pensado para instalaciones solares en motorhomes, casas rodantes y sistemas off-grid.","Panel Solar Monocristalino 210W  - 135 x 77 x 3 cm 11,3kg - 12v","Código: PM.210,135 x 77 x 3 cm 11,3kg,12v",0,0,/images/productos/pm-210.webp,pm-210.webp,0,1
PM.240,Panel Solar Monocristalino 240W,Energía Solar,Paneles Solares Monocristalino,"Panel Solar Monocristalino 240W. Pensado para instalaciones solares en motorhomes, casas rodantes y sistemas off-grid.","Panel Solar Monocristalino 240W - 134 x 88 x 3,5 cm - 12 kg - 12v","Código: PM.240,134 x 88 x 3,5 cm,12 kg,12v",0,0,/images/productos/pm-240.webp,pm-240.webp,0,2
PM.280,Panel Solar Monocristalino 280W,Energía Solar,Paneles Solares Monocristalino,"Panel Solar Monocristalino 280W. Pensado para instalaciones solares en motorhomes, casas rodantes y sistemas off-grid.","Panel Solar Monocristalino 280W - 164 x 99,2 x 3,5 cm 18,5kg - 24v","Código: PM.280,164 x 99,2 x 3,5 cm 18,5kg,24v",0,0,/images/productos/pm-280.webp,pm-280.webp,0,2
PM.380,Panel Solar Monocristalino 380W,Energía Solar,Paneles Solares Monocristalino,"Panel Solar Monocristalino 380W. Pensado para instalaciones solares en motorhomes, casas rodantes y sistemas off-grid.","Panel Solar Monocristalino 380W - 176 x 103,8 x 3,5 cm - 20kg - 24v","Código: PM.380,176 x 103,8 x 3,5 cm,20kg,24v",0,0,/images/productos/pm-380.webp,pm-380.webp,0,2
PM.420,Panel Solar Monocristalino 420W,Energía Solar,Paneles Solares Monocristalino,"Panel Solar Monocristalino 420W. Pensado para instalaciones solares en motorhomes, casas rodantes y sistemas off-grid.","Panel Solar Monocristalino 420W  - 172,2 x 113,4 x 3 cm 19,2kg - 24v","Código: PM.420,172,2 x 113,4 x 3 cm 19,2kg,24v",0,0,/images/productos/pm-420.webp,pm-420.webp,0,2
PM.430,Panel Solar Monocristalino 430W,Energía Solar,Paneles Solares Monocristalino,"Panel Solar Monocristalino 430W. Pensado para instalaciones solares en motorhomes, casas rodantes y sistemas off-grid.","Panel Solar Monocristalino 430W - 172,2 x 113,4 x 3 cm - 20,5 kg - 24v","Código: PM.430,172,2 x 113,4 x 3 cm,20,5 kg,24v",0,0,/images/productos/pm-430.webp,pm-430.webp,0,2
PM.440,Panel Solar Monocristalino 440W,Energía Solar,Paneles Solares Monocristalino,"Panel Solar Monocristalino 440W. Pensado para instalaciones solares en motorhomes, casas rodantes y sistemas off-grid.","Panel Solar Monocristalino 440W - 176,2 x 113,4 x 3 cm - 21 kg - 24v","Código: PM.440,176,2 x 113,4 x 3 cm,21 kg,24v",0,0,/images/productos/pm-440.webp,pm-440.webp,0,2
PM.450,Panel Solar Monocristalino 450W,Energía Solar,Paneles Solares Monocristalino,"Panel Solar Monocristalino 450W. Pensado para instalaciones solares en motorhomes, casas rodantes y sistemas off-grid.","Panel Solar Monocristalino 450W - 210 x 103,8 x 3,5 cm - 24kg - 24v","Código: PM.450,210 x 103,8 x 3,5 cm,24kg,24v",0,0,/images/productos/pm-450.webp,pm-450.webp,0,2
PM.470,Panel Solar Monocristalino 470W,Energía Solar,Paneles Solares Monocristalino,"Panel Solar Monocristalino 470W. Pensado para instalaciones solares en motorhomes, casas rodantes y sistemas off-grid.","Panel Solar Monocristalino 470W - 190,8 x 113,4 x 3 cm - 23 kg - 24v","Código: PM.470,190,8 x 113,4 x 3 cm,23 kg,24v",0,0,/images/productos/pm-470.webp,pm-470.webp,0,2
PM.540,Panel Solar Monocristalino 540W,Energía Solar,Paneles Solares Monocristalino,"Panel Solar Monocristalino 540W. Pensado para instalaciones solares en motorhomes, casas rodantes y sistemas off-grid.","Panel Solar Monocristalino 540W  - 225,6 x 113,3 x 3,5cm - 27,2kg - 24v","Código: PM.540,225,6 x 113,3 x 3,5cm,27,2kg,24v",0,0,/images/productos/pm-540.webp,pm-540.webp,0,3
PM.700,Panel Solar Monocristalino 700W,Energía Solar,Paneles Solares Monocristalino,"Panel Solar Monocristalino 700W. Pensado para instalaciones solares en motorhomes, casas rodantes y sistemas off-grid.",Panel Solar Monocristalino 700W,"• Código: PM.700
• Potencia: 700W",0,0,/images/productos/pm-700.webp,pm-700.webp,0,
PM.550,Panel Solar Monocristalino 550W,Energía Solar,Paneles Solares Monocristalino,"Panel Solar Monocristalino 550W. Pensado para instalaciones solares en motorhomes, casas rodantes y sistemas off-grid.","Panel Solar Monocristalino 550W - 227,8 x 113,4 x 3,5cm - 29kg - 24v","Código: PM.550,227,8 x 113,4 x 3,5cm,29kg,24v",0,0,/images/productos/pm-550.webp,pm-550.webp,0,3
PP.80,Panel Solar Policristalino 80W,Energía Solar,Paneles Solares Policristalino,"Panel Solar Policristalino 80W. Pensado para instalaciones solares en motorhomes, casas rodantes y sistemas off-grid.","Panel Solar Policristalino 80W - 77 x 66 x 3,5 cm - 6kg - 12V","Código: PP.80,77 x 66 x 3,5 cm,6kg,12V",0,0,/images/productos/pp-80.webp,pp-80.webp,0,3
PP.100,Panel Solar Policristalino 100W,Energía Solar,Paneles Solares Policristalino,"Panel Solar Policristalino 100W. Pensado para instalaciones solares en motorhomes, casas rodantes y sistemas off-grid.","Panel Solar Policristalino 100W - 103 x 67 x 3,5 cm - 7kg - 12v","Código: PP.100,103 x 67 x 3,5 cm,7kg,12v",0,0,/images/productos/pp-100.webp,pp-100.webp,0,3
PP.340,Panel Solar Policristalino 340W,Energía Solar,Paneles Solares Policristalino,"Panel Solar Policristalino 340W. Pensado para instalaciones solares en motorhomes, casas rodantes y sistemas off-grid.","Panel Solar Policristalino 340W - 195,5 x 99,2 x 3,5 cm - 21kg - 24v","Código: PP.340,195,5 x 99,2 x 3,5 cm,21kg,24v",0,0,/images/productos/pp-340.webp,pp-340.webp,0,3
